model,vectorizer,accuracy,precision,recall,f1_score,balanced_accuracy,matthews_corrcoef,training_time,roc_auc
CatBoost,bow_freq,0.5545774647887324,0.6714678087006327,0.5545774647887324,0.43686313350903994,0.5323514789957743,0.15185658707205985,0.19736075401306152,0.5419338801889136
LogisticRegression,count_unigram,0.5404929577464789,0.6820332249909714,0.5404929577464789,0.4010698726887149,0.5170146656723837,0.11363843967540437,0.023148059844970703,0.5250062142679592
LogisticRegression_L1,count_unigram,0.477112676056338,0.7510060362173038,0.477112676056338,0.3101881327885318,0.5016778523489933,0.039974424549814924,0.08623290061950684,0.512670892368879
RidgeClassifier,count_unigram,0.5404929577464789,0.6820332249909714,0.5404929577464789,0.4010698726887149,0.5170146656723837,0.11363843967540437,0.01230001449584961,0.5170146656723839
SGDClassifier,count_unigram,0.4753521126760563,0.22595963102559014,0.4753521126760563,0.30631281723755416,0.5,0.0,0.020923852920532227,0.5
MultinomialNB,count_unigram,0.5387323943661971,0.7070649704679691,0.5387323943661971,0.3946247578931533,0.5149888143176734,0.11383352640017032,0.010548114776611328,0.5180524484215759
ComplementNB,count_unigram,0.5369718309859155,0.6677319507053747,0.5369718309859155,0.39371457146031164,0.5133109619686801,0.09647293964897795,0.010480880737304688,0.5180524484215759
BernoulliNB,count_unigram,0.5387323943661971,0.7070649704679691,0.5387323943661971,0.3946247578931533,0.5149888143176734,0.11383352640017032,0.010831117630004883,0.5180027342779022
RandomForest,count_unigram,0.5422535211267606,0.7159919951362853,0.5422535211267606,0.4020032297025965,0.5186925180213771,0.12982543875085958,0.204056978225708,0.5280698483718618
ExtraTrees,count_unigram,0.5422535211267606,0.7159919951362853,0.5422535211267606,0.4020032297025965,0.5186925180213771,0.12982543875085958,0.1676630973815918,0.5265722097936864
GradientBoosting,count_unigram,0.5422535211267606,0.7159919951362853,0.5422535211267606,0.4020032297025965,0.5186925180213771,0.12982543875085958,0.09729194641113281,0.5232724335073328
